"ED50","Std.error","Lower","Upper","Site.name","Metric","Genotype","Model"
37.4457617651708,0.138129537020901,37.1744143611572,37.7171091691845,"Chicken","MeanNDVI","797","W2.3"
37.4802376342753,0.169214547914073,37.1478255427841,37.8126497257665,"Chicken","MeanNDVI","798","W2.3"
37.2078362763129,0.139571130465248,36.9336569462159,37.4820156064098,"Chicken","MeanNDVI","799","W2.3"
36.7676314529866,0.628546457814098,35.5328886651062,38.0023742408671,"Chicken","MeanNDVI","800","W2.3"
35.7684827877219,0.388716729483736,35.0048714869316,36.5320940885121,"Chicken","MeanNDVI","801","W2.3"
35.9223902458448,0.351908715978936,35.2310861367446,36.613694354945,"Chicken","MeanNDVI","802","W2.3"
36.1798534417952,0.427441843054153,35.3401689182598,37.0195379653305,"Chicken","MeanNDVI","803","W2.3"
35.6060691348535,0.337316856599227,34.9434298808437,36.2687083888632,"Chicken","MeanNDVI","804","W2.3"
35.3367902469751,0.42804409856589,34.4959226276791,36.177657866271,"Chicken","MeanNDVI","805","W2.3"
35.3260153703821,0.313942439271838,34.7092937933508,35.9427369474133,"Chicken","MeanNDVI","806","W2.3"
36.5550766441285,0.312554667483874,35.9410812636816,37.1690720245753,"Chicken","MeanNDVI","956","W2.3"
35.9809404264395,2.68018875565803,30.7158662301486,41.2460146227305,"Chicken","MeanNDVI","987","W2.3"
36.461397983678,1.83328423741565,32.8600182254399,40.0627777419161,"Chicken","MeanNDVI","988","W2.3"
36.4323396737985,0.834007959043611,34.7939797726938,38.0706995749032,"Chicken","MeanNDVI","989","W2.3"
37.2604429837881,0.174707890995551,36.9172395408115,37.6036464267648,"Chicken","MeanNDVI","990","W2.3"
35.5280599042538,0.387028273835156,34.767765475922,36.2883543325857,"Chicken","MeanNDVI","991","W2.3"
35.2621882265856,0.718225760080273,33.8512756897252,36.6731007634459,"Chicken","MeanNDVI","992","W2.3"
36.6651465439967,0.445351307209575,35.79027992465,37.5400131633435,"Chicken","MeanNDVI","993","W2.3"
36.2720924531795,0.32833652225007,35.6270945412416,36.9170903651173,"Chicken","MeanNDVI","994","W2.3"
37.1036749053844,0.357452189233625,36.4014809670028,37.805868843766,"Chicken","MeanNDVI","995","W2.3"
36.8736665933669,0.307536853783845,36.2695284147227,37.4778047720111,"Chicken","MeanNDVI","996","W2.3"
36.1106865715869,0.438490749472182,35.2492971170253,36.9720760261484,"Chicken","MeanNDVI","997","W2.3"
36.1679678151163,0.353037857450452,35.4744455735756,36.8614900566571,"Chicken","MeanNDVI","998","W2.3"
36.2517233334868,0.396964842614805,35.4719090964209,37.0315375705526,"Chicken","MeanNDVI","999","W2.3"
36.5305493132949,0.410542164354077,35.7240632210498,37.3370354055401,"Chicken","MeanNDVI","1000","W2.3"
36.6796976888976,0.415071565360649,35.8643138530461,37.4950815247491,"Chicken","MeanNDVI","1501","W2.3"
36.5527616312111,0.509100867047171,35.5526627267064,37.5528605357158,"Chicken","MeanNDVI","1502","W2.3"
36.9712331403147,0.517741211768607,35.9541607834948,37.9883054971346,"Chicken","MeanNDVI","1503","W2.3"
35.9023131583887,0.521830611920966,34.8772074139296,36.9274189028478,"Chicken","MeanNDVI","1504","W2.3"
35.971071168173,0.717954500276666,34.560691505346,37.381450831,"Chicken","MeanNDVI","1505","W2.3"
34.9381576468279,0.331526680624593,34.2868928551771,35.5894224384788,"Chicken","MeanNDVI","1506","W2.3"
34.9678344985438,0.381196509951339,34.2189962295883,35.7166727674993,"Chicken","MeanNDVI","1507","W2.3"
35.3592420224678,0.836285841720458,33.7164073539503,37.0020766909853,"Chicken","MeanNDVI","1508","W2.3"
34.803766732857,0.474533312486885,33.8715737693649,35.7359596963492,"Chicken","MeanNDVI","1509","W2.3"
35.9502313314464,0.677974566033519,34.6183899132518,37.2820727496409,"Chicken","MeanNDVI","1510","W2.3"
35.9336562140827,0.982587349334855,34.0034207828417,37.8638916453237,"Chicken","MeanNDVI","1511","W2.3"
37.0191618580559,0.57511287213033,35.8893862269121,38.1489374891998,"Chicken","MeanNDVI","1512","W2.3"
36.1031499517029,0.454184053493233,35.2109319184148,36.995367984991,"Chicken","MeanNDVI","1513","W2.3"
35.9052889668719,0.574606473478124,34.7765081262894,37.0340698074543,"Chicken","MeanNDVI","1514","W2.3"
35.2251004012362,0.37595261061287,34.486563466109,35.9636373363634,"Chicken","MeanNDVI","1515","W2.3"
35.7140285284311,0.371564431801643,34.9841119141597,36.4439451427026,"Chicken","MeanNDVI","1516","W2.3"
36.2682367634328,0.36219118820403,35.5567333384925,36.979740188373,"Chicken","MeanNDVI","1517","W2.3"
35.7522811298773,0.463483641991914,34.8417945983959,36.6627676613587,"Chicken","MeanNDVI","1518","W2.3"
35.7672576688589,0.393458657405759,34.9943311277557,36.5401842099621,"Chicken","MeanNDVI","1519","W2.3"
35.622996760989,0.456612868338107,34.7260074628636,36.5199860591144,"Chicken","MeanNDVI","1520","W2.3"
35.4961533056654,0.576573720906314,34.3635079224644,36.6287986888664,"Chicken","MeanNDVI","1521","W2.3"
35.6332669309258,0.572382470688812,34.5088550138655,36.7576788479862,"Chicken","MeanNDVI","1522","W2.3"
35.5219269778888,0.615509996600267,34.3127935562901,36.7310603994875,"Chicken","MeanNDVI","1523","W2.3"
36.2018950072991,0.350672777477473,35.5130188271641,36.890771187434,"Chicken","MeanNDVI","1524","W2.3"
35.8749062295387,0.360929825792152,35.1658806773501,36.5839317817272,"Chicken","MeanNDVI","1525","W2.3"
