"Trait_metric","term","mean","sd","n","lower","upper","q1","q3","median","IQ","min","max"
"FvFm_ED50","(Intercept)",37.2789152042239,0.020346027517645,100,37.2748781109541,37.2829522974937,37.2651529013413,37.290691878671,37.2763977472756,0.0255389773296315,37.2268444353469,37.3290003446654
"FvFm_ED50","MMM",0.0726690328751341,0.0277081717668659,100,0.0671711304634057,0.0781669352868624,0.0531436521479785,0.0837297028339276,0.0673651862864486,0.0305860506859491,0.00726457611905495,0.129608778862851
"FvFm_ED50","DHW_collection",0.0657640684264465,0.0216407088395167,100,0.061470082294075,0.070058054558818,0.0486432944086016,0.0802394723664198,0.0608854693185154,0.0315961779578183,0.00124902747187416,0.127633739303147
"FvFm_ED50","Velocity_OM",0.0451650443504737,0.0254637180114868,100,0.0401124902575929,0.0502175984433546,0.0268956839509922,0.0532171007483389,0.038235318765492,0.0263214167973467,-0.0125864412450278,0.0926992259443589
"FvFm_ED50","DHW_freq_sup4",0.0431503014519406,0.0304945622148059,100,0.0370995187241582,0.0492010841797231,0.0251418079286369,0.0497011255628968,0.0308800795268694,0.0245593176342599,-0.011697168522753,0.0865401020142867
"FvFm_ED50","Depth",0.0376332908588791,0.014379925670643,100,0.0347800016310549,0.0404865800867034,0.0283355023258294,0.0457537144881179,0.0350621601325868,0.0174182121622885,0.00220818408239665,0.0718810327315507
"FvFm_ED50","AR",0.0359976296778969,0.00996421059796191,100,0.0340205141201316,0.0379747452356622,0.0293399873154617,0.0419607972833662,0.0350452620572162,0.0126208099679045,0.010408772363605,0.0608920122352229
"FvFm_ED50","TSA_DHW_stdev",0.0304534129979752,0.014272000928075,100,0.0276215383805209,0.0332852876154296,0.0265829296378519,0.0374186731663017,0.0319230007148203,0.0108357435284498,0.0103293143451772,0.0536722884589764
"FvFm_ED50","CF30a",-0.0195168870276407,0.0118410693187547,100,-0.021866412074359,-0.0171673619809224,-0.0237727619695213,-0.0115429066024163,-0.0157238784825619,0.012229855367105,-0.0421175450201789,0.00680187644824124
"FvFm_ED50","Turbidity",-0.0147592084364498,0.00746468339489321,100,-0.0162403635694871,-0.0132780533034126,-0.019007116943852,-0.00985080928204633,-0.0141597165371936,0.0091563076618057,-0.0327415784365606,0.00388365221066222
"FvFm_ED50","DHW_freq_sup4_1year",-0.0130294717466424,0.0188378260702167,100,-0.0167673051285984,-0.0092916383646863,-0.0131817772136273,-0.00257834216621889,-0.00637515191826147,0.0106034350474084,-0.02908692978474,0.0133268104048938
"FvFm_ED50","Health.score",0.00854053500190314,0.0101322611574689,100,0.00653007456724811,0.0105509954365582,0.00185902358758556,0.0130769402793607,0.00677616430947763,0.0112179166917751,-0.0149678514500771,0.0299038153170233
"FvFm_ED50","ROTC_ss",0.000291491367647022,0.0111721244292525,100,-0.00192530050012854,0.00250828323542258,-0.0010187156853129,0.00678275068589738,0.00369010355160153,0.00780146637121028,-0.0127209152421283,0.0184849502427128
"FvFm_Ratio","(Intercept)",0.470690016143981,0.00244911905563379,100,0.470204057789317,0.471175974498645,0.468840137254831,0.472317194545789,0.470474288452014,0.00347705729095826,0.463624551318394,0.477532780482227
"FvFm_Ratio","Velocity_OM",0.0370160176182426,0.0084148864990107,100,0.0353463215745413,0.0386857136619438,0.0307632064278216,0.0428142915644543,0.035708676268873,0.0120510851366327,0.0126865787228726,0.0608909192694033
"FvFm_Ratio","CF30a",-0.0314348539907495,0.00508932590547267,100,-0.0324446866641282,-0.0304250213173709,-0.0346510713230623,-0.0279944127823333,-0.0314724136518529,0.006656658540729,-0.0446360591341558,-0.0180094249712398
"FvFm_Ratio","MMM",-0.0311887272346721,0.00290508407330561,100,-0.0317651589410758,-0.0306122955282685,-0.0325122996678239,-0.0293469377295132,-0.0313069525966131,0.00316536193831063,-0.0372603425752898,-0.0245988948220473
"FvFm_Ratio","AR",-0.0255883368513187,0.0041155745024667,100,-0.0264049561206498,-0.0247717175819876,-0.0282502100696108,-0.0224350989832836,-0.0250257072972669,0.00581511108632726,-0.0369728766991017,-0.0137124323537927
"FvFm_Ratio","TSA_DHW_stdev",-0.0164882074143178,0.00682114047288447,100,-0.0178416696698627,-0.0151347451587728,-0.0208736328019354,-0.0115549642207458,-0.0146222403214313,0.00931866858118955,-0.0348516356737197,0.0024230386510385
"FvFm_Ratio","DHW_freq_sup4",0.0160731517216162,0.00397730436114318,100,0.0152839682481163,0.0168623351951161,0.0136400486542921,0.0183898464654014,0.0153916728476614,0.0047497978111093,0.00651535193762813,0.0255145431820653
"FvFm_Ratio","ROTC_ss",0.0140084561300962,0.00282526481237955,100,0.0134478622967518,0.0145690499634407,0.0125885967620592,0.0156213799579855,0.0139904039774102,0.00303278319592628,0.00803942196816984,0.0201705547518749
"FvFm_Ratio","Turbidity",0.0125617201160007,0.00565257888796374,100,0.011440125831033,0.0136833144009684,0.00800656454554376,0.0155208974553725,0.011499487126062,0.00751433290982874,-0.00326493481919934,0.0267923968201156
"FvFm_Ratio","DHW_freq_sup4_1year",-0.00848551932500246,0.0031734989728842,100,-0.00911521037078635,-0.00785582827921857,-0.0101611473295506,-0.00622428717634262,-0.00833864764128838,0.00393686015320801,-0.0160664375593626,-0.0003189969465306
"FvFm_Ratio","DHW_collection",-0.00502722468876252,0.00503476351741451,100,-0.00602623100061079,-0.00402821837691424,-0.00861131607964988,-0.00312239429834913,-0.0060405079298671,0.00548892178130075,-0.016844698751601,0.00511098837360198
