"Trait_metric","k","Rsq_test","Rsq_train"
"NDVI_Ratio",1,0.604977431616479,0.583614582664675
"NDVI_Ratio",2,0.595031562550732,0.596739428448239
"NDVI_Ratio",3,0.597437838430585,0.56370739080283
"NDVI_Ratio",4,0.594641045924157,0.582417895083013
"NDVI_Ratio",5,0.580166086594515,0.60447198363528
"NDVI_Ratio",6,0.575242416861434,0.582444017378628
"NDVI_Ratio",7,0.629843666395896,0.586194283148301
"NDVI_Ratio",8,0.558698095554864,0.616696624207936
"NDVI_Ratio",9,0.606502123842985,0.58694594716024
"NDVI_Ratio",10,0.611115021055503,0.578190646612252
"NDVI_Ratio",11,0.616230944616727,0.554471665301998
"NDVI_Ratio",12,0.576169437115067,0.569313252314533
"NDVI_Ratio",13,0.578964579721441,0.606934662812414
"NDVI_Ratio",14,0.611389709178871,0.57709062853533
"NDVI_Ratio",15,0.606565627322759,0.593140715760271
"NDVI_Ratio",16,0.498547885075166,0.662923206288484
"NDVI_Ratio",17,0.589458108020143,0.600006560677086
"NDVI_Ratio",18,0.606955295268986,0.581264073129514
"NDVI_Ratio",19,0.556422721521802,0.619227798349688
"NDVI_Ratio",20,0.548130717034766,0.641378522798772
"NDVI_Ratio",21,0.592742131482868,0.581515124765032
"NDVI_Ratio",22,0.562399027125946,0.577140509956214
"NDVI_Ratio",23,0.572693917825264,0.612468764398976
"NDVI_Ratio",24,0.624677186145582,0.586005790352374
"NDVI_Ratio",25,0.599909722747801,0.579918898687934
"NDVI_Ratio",26,0.602427600756822,0.553759906239095
"NDVI_Ratio",27,0.622597277478246,0.573028708939954
"NDVI_Ratio",28,0.605613916698229,0.554228482402333
"NDVI_Ratio",29,0.613934745925617,0.575201270462724
"NDVI_Ratio",30,0.592132372480817,0.601254477250647
"NDVI_Ratio",31,0.608988008429591,0.57632447279584
"NDVI_Ratio",32,0.562556460216947,0.601740920221443
"NDVI_Ratio",33,0.580757805818714,0.568616670834001
"NDVI_Ratio",34,0.588940218074628,0.574926008545601
"NDVI_Ratio",35,0.574954686583426,0.581490867813086
"NDVI_Ratio",36,0.613413873774184,0.589856500090902
"NDVI_Ratio",37,0.595840923758299,0.609231026933447
"NDVI_Ratio",38,0.544148894812873,0.612136769209776
"NDVI_Ratio",39,0.5815953790921,0.587189049061892
"NDVI_Ratio",40,0.587273109293663,0.598475814847474
"NDVI_Ratio",41,0.613694732679037,0.565412125766141
"NDVI_Ratio",42,0.570630796504801,0.616192309501984
"NDVI_Ratio",43,0.559524334242417,0.62860480786441
"NDVI_Ratio",44,0.619091963467505,0.568854713150894
"NDVI_Ratio",45,0.564200559341941,0.562892983106301
"NDVI_Ratio",46,0.578227752494338,0.587423400655313
"NDVI_Ratio",47,0.57370806174659,0.595626099214234
"NDVI_Ratio",48,0.599548911300571,0.599343460370976
"NDVI_Ratio",49,0.576557277133162,0.614621397121877
"NDVI_Ratio",50,0.534899960673885,0.626988243533818
"NDVI_Ratio",51,0.598934409576969,0.613948999262688
"NDVI_Ratio",52,0.603541986303867,0.559099245603328
"NDVI_Ratio",53,0.582171922944366,0.599419192683619
"NDVI_Ratio",54,0.570749499303258,0.59622650212913
"NDVI_Ratio",55,0.609753370781205,0.540143653196445
"NDVI_Ratio",56,0.499802479656099,0.626833566295353
"NDVI_Ratio",57,0.55614054417228,0.58886216877379
"NDVI_Ratio",58,0.58566071428038,0.611807035949946
"NDVI_Ratio",59,0.589882792061516,0.586192838982566
"NDVI_Ratio",60,0.583562403530572,0.563404688157607
"NDVI_Ratio",61,0.570656792222105,0.59697261337218
"NDVI_Ratio",62,0.591749091432602,0.605627730910035
"NDVI_Ratio",63,0.545060287343281,0.604591325808805
"NDVI_Ratio",64,0.584664042238158,0.598894291010533
"NDVI_Ratio",65,0.616596549006588,0.589757102993372
"NDVI_Ratio",66,0.595696454130439,0.585011918562897
"NDVI_Ratio",67,0.632151818995929,0.573328441208458
"NDVI_Ratio",68,0.592608984327043,0.593841971405608
"NDVI_Ratio",69,0.601992448582209,0.591835342295493
"NDVI_Ratio",70,0.597930155593168,0.574936207374486
"NDVI_Ratio",71,0.622969082143015,0.559429556290485
"NDVI_Ratio",72,0.584064142871029,0.563431237035258
"NDVI_Ratio",73,0.546425370119296,0.614133862297453
"NDVI_Ratio",74,0.590012611322668,0.589486115372799
"NDVI_Ratio",75,0.617010139905409,0.568760476835839
"NDVI_Ratio",76,0.575158489515741,0.59354649760082
"NDVI_Ratio",77,0.560006538211903,0.60511438272117
"NDVI_Ratio",78,0.562440189479983,0.591619068379249
"NDVI_Ratio",79,0.584308026528176,0.59332284249748
"NDVI_Ratio",80,0.625549769252797,0.560159851198101
"NDVI_Ratio",81,0.583252559335172,0.607779008066256
"NDVI_Ratio",82,0.616928294515332,0.559261993995159
