"Trait_metric","Variable","mean","sd","n","lower","upper","q1","q3","median","IQ","min","max"
"NDVI_Ratio","AR",0.00466156542646828,0.00048809747996773,10,0.00431240152338649,0.00501072932955008,0.00452661599126792,0.00496869541632899,0.00461698898851896,0.00044207942506107,0.00386349685367631,0.00563181455392059
"NDVI_Ratio","Velocity_OM",0.00288096116330008,0.000379208205552033,10,0.00260969195465769,0.00315223037194247,0.00260051228785831,0.00310088421031867,0.0028094969194861,0.00050037192246036,0.00184995440416777,0.00385144209400921
"NDVI_Ratio","CF30a",0.00254799995187511,0.000325934814158737,10,0.00231484023167039,0.00278115967207983,0.00231263479401459,0.00276658748217403,0.00253921046764427,0.000453952688159445,0.00163170576177542,0.0034475165144132
"NDVI_Ratio","TSA_DHW_stdev",0.00175071076027859,0.000311464533382762,10,0.0015279024553583,0.00197351906519888,0.00158668379667902,0.00188115920941098,0.00174117587608249,0.000294475412731963,0.00114497067758107,0.00232287232850892
"NDVI_Ratio","Turbidity",0.000817173389532591,0.000169868578444147,10,0.000695656728835151,0.000938690050230031,0.000722039732764674,0.000905909359299891,0.000784546656534811,0.000183869626535217,0.000446235292961849,0.00118171379910272
"NDVI_Ratio","Depth",0.000685152331306029,0.000195008057459472,10,0.000545651970682471,0.000824652691929586,0.000555054563355891,0.000800217525306457,0.000664597108217421,0.000245162961950566,0.000187310120430041,0.00116796196823231
"NDVI_Ratio","DHW_freq_sup4",0.000507635783442752,0.000119556684187261,10,0.000422110083754441,0.000593161483131063,0.000408233416037789,0.000572316374785197,0.000486503971941996,0.000164082958747409,0.000162108977916676,0.00081844081290631
"NDVI_Ratio","ROTC_ss",0.000285474655539834,8.7904129498487e-05,10,0.000222591829439752,0.000348357481639916,0.000226899879040264,0.000343517481103552,0.000244184573051836,0.000116617602063288,5.19734759453321e-05,0.000518443884198483
"NDVI_Ratio","Health.score",0.000116522224490204,8.77149305057297e-05,10,5.37747431961938e-05,0.000179269705784215,9.16262818236032e-05,0.000181289761707321,0.000106317846368975,8.96634798837183e-05,-4.28689380019742e-05,0.000315784981532899
"NDVI_Ratio","DHW_freq_sup4_1year",9.14492192915129e-05,2.15933615925347e-05,10,7.60022589531714e-05,0.000106896179629854,7.40991373204233e-05,9.7186401386991e-05,9.15814070721524e-05,2.30872640665677e-05,3.94682412205716e-05,0.000131817297486843
