Site.name;Genotype;Metric;Value;CI;Trait;eventID
Davies;1564;ED50;40.726396048511;9.50686696011982;FvFm;Aspat_1564
Davies;1589;ED50;36.3645847531494;21.3308206131245;FvFm;Aspat_1589
Davies;1558;ED50;36.879177656343;1.6666037898852;FvFm;Aspat_1558
Davies;1563;ED50;37.7983675800955;2.15395174988578;FvFm;Aspat_1563
Davies;1557;ED50;36.7562015732815;1.63357960183244;FvFm;Aspat_1557
Davies;1587;ED50;38.5691800596678;4.28976744238457;FvFm;Aspat_1587
Davies;1550;ED50;37.1699784934574;3.11204001916526;FvFm;Aspat_1550
Davies;1560;ED50;38.0221192184356;3.02669206076564;FvFm;Aspat_1560
Davies;1582;ED50;40.1181129308404;8.57261992850211;FvFm;Aspat_1582
Davies;1552;ED50;37.8246636547959;3.79697104412696;FvFm;Aspat_1552
Davies;1549;ED50;37.1157805285992;0.589211454519656;FvFm;Aspat_1549
Davies;1551;ED50;37.113625075476;1.72892019806341;FvFm;Aspat_1551
Davies;1559;ED50;37.1493844187423;0.759225208525294;FvFm;Aspat_1559
Davies;1571;ED50;37.0727613972207;1.15193242632449;FvFm;Aspat_1571
Davies;1556;ED50;37.0482731345859;1.0589424282565;FvFm;Aspat_1556
Davies;1588;ED50;38.6409437219859;5.53621423315498;FvFm;Aspat_1588
Davies;1585;ED50;37.2981883621375;1.74702172674691;FvFm;Aspat_1585
Davies;1547;ED50;37.9423065586357;2.4057667448792;FvFm;Aspat_1547
Davies;1545;ED50;37.7667100070612;3.86121396535727;FvFm;Aspat_1545
Davies;1541;ED50;36.995612344106;1.72772964640562;FvFm;Aspat_1541
Davies;1553;ED50;37.1477689968137;2.78034577533086;FvFm;Aspat_1553
Davies;1592;ED50;37.7306704495369;2.46736424643606;FvFm;Aspat_1592
Davies;1583;ED50;37.2952717282778;1.91043639060766;FvFm;Aspat_1583
Davies;1570;ED50;36.8257565631935;0.700642693385277;FvFm;Aspat_1570
Davies;1537;ED50;37.2959045575476;2.45895473956666;FvFm;Aspat_1537
Davies;1568;ED50;37.2127645015457;1.57508966137043;FvFm;Aspat_1568
Davies;1569;ED50;37.066723779951;0.853795487223096;FvFm;Aspat_1569
Davies;1546;ED50;37.592330277711;2.61264057563172;FvFm;Aspat_1546
Davies;1555;ED50;37.7908337294424;1.64400909459566;FvFm;Aspat_1555
Davies;1540;ED50;38.0530794024537;3.36055539593133;FvFm;Aspat_1540
Davies;1562;ED50;37.6931845583279;1.6527909628539;FvFm;Aspat_1562
Fitzroy Island;776;ED50;37.3823469667615;2.95199333637466;FvFm;Aspat_776
Fitzroy Island;848;ED50;36.7897092357688;1.79333809901651;FvFm;Aspat_848
Fitzroy Island;823;ED50;36.6032947591861;1.63513434442361;FvFm;Aspat_823
Fitzroy Island;814;ED50;37.3424756704507;2.28923578020668;FvFm;Aspat_814
Fitzroy Island;851;ED50;36.1728264870834;1.68654151487351;FvFm;Aspat_851
Fitzroy Island;817;ED50;36.8836070385319;1.97680330117238;FvFm;Aspat_817
Fitzroy Island;839;ED50;36.3002861062669;1.96160036410919;FvFm;Aspat_839
Fitzroy Island;812;ED50;38.0011497549171;3.12768720527538;FvFm;Aspat_812
Fitzroy Island;816;ED50;36.5948985492835;1.86348627893338;FvFm;Aspat_816
Fitzroy Island;829;ED50;35.9489721892796;1.50127604962499;FvFm;Aspat_829
Fitzroy Island;818;ED50;37.1279762550719;1.96768901176048;FvFm;Aspat_818
Fitzroy Island;772;ED50;36.5604953095293;1.7353004423903;FvFm;Aspat_772
Fitzroy Island;841;ED50;36.9336510467077;1.96401980803375;FvFm;Aspat_841
Fitzroy Island;822;ED50;36.3414825699344;1.60669172655291;FvFm;Aspat_822
Fitzroy Island;847;ED50;36.6394476053696;1.69630832306353;FvFm;Aspat_847
Fitzroy Island;777;ED50;36.6995613387354;2.83892491483103;FvFm;Aspat_777
Fitzroy Island;785;ED50;37.3291933223511;1.86990323799964;FvFm;Aspat_785
Fitzroy Island;780;ED50;37.4215142085344;2.27023624748348;FvFm;Aspat_780
Fitzroy Island;840;ED50;36.888413081894;1.79556436306478;FvFm;Aspat_840
Fitzroy Island;786;ED50;37.8383033427773;2.03445587711195;FvFm;Aspat_786
Fitzroy Island;849;ED50;36.4154823707486;1.69712718900456;FvFm;Aspat_849
Fitzroy Island;810;ED50;40.7968239686311;7.16478922509081;FvFm;Aspat_810
Fitzroy Island;773;ED50;36.2510722617099;1.75804868795736;FvFm;Aspat_773
Fitzroy Island;775;ED50;36.8552271152946;1.95117389328374;FvFm;Aspat_775
Fitzroy Island;813;ED50;36.6075407595071;1.76617241920908;FvFm;Aspat_813
Fitzroy Island;808;ED50;40.6428067346372;7.32114097334183;FvFm;Aspat_808
Fitzroy Island;781;ED50;37.2647002128908;2.27728229157343;FvFm;Aspat_781
Fitzroy Island;809;ED50;41.6145175026111;9.45563511561831;FvFm;Aspat_809
Fitzroy Island;825;ED50;37.4264737803475;2.11934581631961;FvFm;Aspat_825
Fitzroy Island;850;ED50;35.7624408108761;1.67916653630705;FvFm;Aspat_850
Fitzroy Island;774;ED50;36.2502768863677;1.7046883933469;FvFm;Aspat_774
Fitzroy Island;807;ED50;38.9042766202922;4.00803488459073;FvFm;Aspat_807
Fitzroy Island;842;ED50;36.4262364071319;1.57539510584181;FvFm;Aspat_842
Fitzroy Island;782;ED50;37.5440166784845;2.4221458440431;FvFm;Aspat_782
Fitzroy Island;819;ED50;36.2645824295289;1.69172326567384;FvFm;Aspat_819
Fitzroy Island;834;ED50;36.8361700489254;1.96525740390818;FvFm;Aspat_834
Fitzroy Island;835;ED50;36.8387913060122;1.9792188171985;FvFm;Aspat_835
Fitzroy Island;820;ED50;37.4787614406304;2.05666337220308;FvFm;Aspat_820
Fitzroy Island;784;ED50;38.8570258002731;3.84303110426704;FvFm;Aspat_784
Fitzroy Island;815;ED50;36.2442583789419;1.59945820285034;FvFm;Aspat_815
Fitzroy Island;824;ED50;37.2033624150019;1.73998393344385;FvFm;Aspat_824
Fitzroy Island;832;ED50;36.6013343054036;1.78105978263386;FvFm;Aspat_832
Fitzroy Island;844;ED50;36.035136286727;1.44032673197842;FvFm;Aspat_844
Fitzroy Island;837;ED50;36.6119034516131;1.73190140637047;FvFm;Aspat_837
Fitzroy Island;821;ED50;36.5884075545881;1.94723274622828;FvFm;Aspat_821
Fitzroy Island;783;ED50;37.7632097362329;2.60764459419455;FvFm;Aspat_783
Fitzroy Island;836;ED50;36.4659297566841;1.55458735945277;FvFm;Aspat_836
Fitzroy Island;845;ED50;36.1350602155858;1.53020157588783;FvFm;Aspat_845
Fitzroy Island;843;ED50;37.0020516492257;2.3884710458136;FvFm;Aspat_843
Fitzroy Island;833;ED50;36.4134682325817;1.74923774002995;FvFm;Aspat_833
Fitzroy Island;838;ED50;36.3137564319681;1.58225557994159;FvFm;Aspat_838
Fitzroy Island;846;ED50;36.3270274875259;1.6716461442643;FvFm;Aspat_846
Fitzroy Island;828;ED50;37.5018928351187;2.23666797060923;FvFm;Aspat_828
Fitzroy Island;811;ED50;39.6374223302894;5.03644811420216;FvFm;Aspat_811
Fitzroy Island;827;ED50;37.7354405275254;1.14700793509724;FvFm;Aspat_827
Fitzroy Reef;1705;ED50;36.2924034578468;0.442724129950307;FvFm;Aspat_1705
Fitzroy Reef;1693;ED50;36.5269042024673;0.693900386592631;FvFm;Aspat_1693
Fitzroy Reef;1678;ED50;37.5493192568975;3.12252184552258;FvFm;Aspat_1678
Fitzroy Reef;1702;ED50;36.2460771444101;0.322332516144186;FvFm;Aspat_1702
Fitzroy Reef;1713;ED50;38.1867507474304;4.38128059643947;FvFm;Aspat_1713
Fitzroy Reef;1656;ED50;36.2148569865934;0.424974743855373;FvFm;Aspat_1656
Fitzroy Reef;1663;ED50;37.0619359814165;1.9315194789028;FvFm;Aspat_1663
Fitzroy Reef;1689;ED50;36.0527991268948;1.41724743297222;FvFm;Aspat_1689
Fitzroy Reef;1679;ED50;36.5370038400322;1.00762617755007;FvFm;Aspat_1679
Fitzroy Reef;1694;ED50;36.4351402540611;0.591173518832861;FvFm;Aspat_1694
Fitzroy Reef;1714;ED50;36.5886693634668;1.01967326710519;FvFm;Aspat_1714
Fitzroy Reef;1684;ED50;35.8283535253105;0.356570308800997;FvFm;Aspat_1684
Fitzroy Reef;1711;ED50;36.104136453222;0.282974360679617;FvFm;Aspat_1711
Fitzroy Reef;1667;ED50;36.5258718647931;2.62713735251619;FvFm;Aspat_1667
Fitzroy Reef;1673;ED50;37.1400455425162;4.93487149190285;FvFm;Aspat_1673
Fitzroy Reef;1662;ED50;37.4003705243556;2.38805400241171;FvFm;Aspat_1662
Fitzroy Reef;1661;ED50;36.9818069889359;1.78995661817643;FvFm;Aspat_1661
Fitzroy Reef;1708;ED50;36.0441640891255;0.363588535015069;FvFm;Aspat_1708
Fitzroy Reef;1660;ED50;37.0898874981195;2.02879564014079;FvFm;Aspat_1660
Fitzroy Reef;1685;ED50;36.4327976964459;0.707487817233314;FvFm;Aspat_1685
Fitzroy Reef;1669;ED50;36.686203256375;1.323802585458;FvFm;Aspat_1669
Fitzroy Reef;1686;ED50;36.23997756337;0.464160978291133;FvFm;Aspat_1686
Fitzroy Reef;1668;ED50;37.6102268822808;2.82918038643258;FvFm;Aspat_1668
Fitzroy Reef;1692;ED50;36.7485182235288;1.06846052584093;FvFm;Aspat_1692
Fitzroy Reef;1712;ED50;37.1422543826975;1.96054685178427;FvFm;Aspat_1712
Fitzroy Reef;1658;ED50;36.3542898678252;0.494121119236581;FvFm;Aspat_1658
Fitzroy Reef;1676;ED50;36.9638803374413;2.29731353736014;FvFm;Aspat_1676
Fitzroy Reef;1710;ED50;36.1618835551703;0.283070959604558;FvFm;Aspat_1710
Fitzroy Reef;1701;ED50;36.4867003737612;0.52539077733374;FvFm;Aspat_1701
Fitzroy Reef;1715;ED50;36.6337958806595;0.734602488845098;FvFm;Aspat_1715
Fitzroy Reef;1696;ED50;36.4062612653483;0.765230200344746;FvFm;Aspat_1696
Fitzroy Reef;1700;ED50;36.4193725159502;0.486224613236047;FvFm;Aspat_1700
Fitzroy Reef;1707;ED50;36.3239486007282;0.454677423086821;FvFm;Aspat_1707
Fitzroy Reef;1670;ED50;36.6738183893315;1.20098875905975;FvFm;Aspat_1670
Fitzroy Reef;1680;ED50;35.98703246915;0.278419041090658;FvFm;Aspat_1680
Fitzroy Reef;1716;ED50;37.4882987197807;4.20362775777393;FvFm;Aspat_1716
Fitzroy Reef;1677;ED50;37.3253403209545;3.57595138205926;FvFm;Aspat_1677
Fitzroy Reef;1695;ED50;36.73440633175;1.20077955979902;FvFm;Aspat_1695
Fitzroy Reef;1697;ED50;35.8024932588642;1.23894362869054;FvFm;Aspat_1697
Fitzroy Reef;1657;ED50;36.2094496825501;0.429357442328296;FvFm;Aspat_1657
Fitzroy Reef;1666;ED50;36.2923339816039;1.1751093366735;FvFm;Aspat_1666
Fitzroy Reef;1683;ED50;37.2797976288021;3.19202967086939;FvFm;Aspat_1683
Fitzroy Reef;1687;ED50;36.5836209293651;0.848917438417615;FvFm;Aspat_1687
Fitzroy Reef;1709;ED50;35.9574920882472;0.303079425951907;FvFm;Aspat_1709
Fitzroy Reef;1671;ED50;38.759214953182;5.32809924185197;FvFm;Aspat_1671
Fitzroy Reef;1672;ED50;36.2394537206596;0.547602618201594;FvFm;Aspat_1672
Fitzroy Reef;1681;ED50;35.9590759969405;0.294876815589035;FvFm;Aspat_1681
Fitzroy Reef;1682;ED50;36.8052571882137;2.30415391845465;FvFm;Aspat_1682
Fitzroy Reef;1659;ED50;35.9611611743129;0.2837152626701;FvFm;Aspat_1659
Fitzroy Reef;1664;ED50;37.109027435077;1.90298188054017;FvFm;Aspat_1664
Fitzroy Reef;1698;ED50;36.616398236793;1.77070568050981;FvFm;Aspat_1698
Fitzroy Reef;1704;ED50;36.0979461860902;0.351659712449631;FvFm;Aspat_1704
Fitzroy Reef;1699;ED50;36.2194719996211;0.42263829223478;FvFm;Aspat_1699
Heron;1773;ED50;35.93570244913;0.25974884598385;FvFm;Aspat_1773
Heron;1752;ED50;35.9738625162293;0.275435412434959;FvFm;Aspat_1752
Heron;1737;ED50;36.854812219925;3.2512961436553;FvFm;Aspat_1737
Heron;1731;ED50;36.6869385236845;3.91895426468487;FvFm;Aspat_1731
Heron;1749;ED50;36.0818016007214;0.324828182357365;FvFm;Aspat_1749
Heron;1763;ED50;36.6618340115384;2.57034849237033;FvFm;Aspat_1763
