ID;Date;Time;No.;PAR;F1;F2;F3;Fm1;Fm2;Fm3;FvFm1;FvFm2;FvFm3;qc;Site.name;Genotype;Tank;Treatment;mFvFm;sdFvFm;mF;sdF;eventID
Chicken_3169;11/03/2022;21:09:01;1;0;0.3294;0.4379;0.4472;0.3944;0.5401;0.5767;0.165;0.189;0.225;0;Chicken;798;16;+9C;0.193;0.030199337741083;0.404833333333333;0.0654924677602954;Aspat_798
Chicken_2094;11/03/2022;21:47:17;1;0;0.2693;0.2737;0.2884;0.7102;0.7424;0.8016;0.621;0.631;0.64;0;Chicken;799;11;MMM;0.630666666666667;0.00950438495292218;0.277133333333333;0.0100021664319953;Aspat_799
Chicken_2134;11/03/2022;21:42:13;1;0;0.261;0.2395;0.2634;0.7546;0.6999;0.7678;0.654;0.658;0.657;0;Chicken;799;8;MMM;0.656333333333333;0.00208166599946613;0.254633333333333;0.0131606737416188;Aspat_799
Chicken_623;11/03/2022;21:38:19;1;0;0.2634;0.2674;0.2752;0.6525;0.6955;0.7126;0.596;0.616;0.614;0;Chicken;799;4;MMM;0.608666666666667;0.0110151410945722;0.268666666666667;0.00600111100824949;Aspat_799
Chicken_507;11/03/2022;21:20:35;1;0;0.2478;0.2644;0.2669;0.6383;0.6999;0.7072;0.612;0.622;0.623;0;Chicken;799;9;+3C;0.619;0.00608276253029822;0.2597;0.0103812330674155;Aspat_799
Chicken_799;11/03/2022;21:17:50;1;0;0.2595;0.2434;0.2341;0.6632;0.6422;0.6261;0.609;0.621;0.626;0;Chicken;799;7;+3C;0.618666666666667;0.00873689494805411;0.245666666666667;0.0128508106099706;Aspat_799
Chicken_903;11/03/2022;21:14:59;1;0;0.2287;0.2239;0.2336;0.6579;0.6549;0.6857;0.652;0.658;0.659;0;Chicken;799;5;+3C;0.656333333333333;0.00378593889720019;0.228733333333333;0.00485008590989205;Aspat_799
Chicken_63;11/03/2022;21:37:12;1;0;0.2561;0.2727;0.2903;0.7141;0.8006;0.8543;0.641;0.659;0.66;0;Chicken;799;13;+6C;0.653333333333333;0.0106926766215636;0.273033333333333;0.0171024364735944;Aspat_799
Chicken_803;11/03/2022;21:24:43;1;0;0.2424;0.2419;0.2322;0.6496;0.6652;0.6476;0.627;0.636;0.642;0;Chicken;799;3;+6C;0.635;0.00754983443527076;0.238833333333333;0.00575007246331152;Aspat_799
Chicken_851;11/03/2022;21:32:01;1;0;0.2449;0.2708;0.2678;0.697;0.7747;0.803;0.648637015781922;0.650445333677553;0.666500622665006;2;Chicken;799;10;+6C;0.655194324041494;0.00983319860604587;0.261166666666667;0.0141669803886831;Aspat_799
Chicken_2614;11/03/2022;21:02:53;1;0;0.2874;0.2918;0.3157;0.3935;0.4076;0.4702;0.269631512071156;0.284102060843965;0.3285835814547;2;Chicken;799;12;+9C;0.294105718123274;0.0307228170969387;0.2983;0.0152285915304075;Aspat_799
Chicken_2706;11/03/2022;20:57:33;1;0;0.197;0.2317;0.2395;0.2957;0.3666;0.3847;0.334;0.368;0.377;0;Chicken;799;6;+9C;0.359666666666667;0.0226789182575654;0.222733333333333;0.0226243968612057;Aspat_799
Chicken_3170;11/03/2022;21:09:01;1;0;0.3055;0.2713;0.281;0.3578;0.3255;0.3534;0.146;0.167;0.205;0;Chicken;799;16;+9C;0.172666666666667;0.0299054064231425;0.285933333333333;0.0176256441962651;Aspat_799
Chicken_2095;11/03/2022;21:47:17;1;0;0.3284;0.3275;0.2996;0.7512;0.7947;0.7576;0.563;0.588;0.605;0;Chicken;800;11;MMM;0.585333333333333;0.0211266025033211;0.3185;0.0163740648587943;Aspat_800
