Genotype;CF_OM;MMM;DHW_freq_sup8;DHW_collection;CF_ss;SSTA_freq_stdev;Km_to_coastline;DHW_max;Lat;TSA_DHW_stdev;DHW_freq_sup4;Depth_corrected;Health.Chart;DTR;DTR_ss;MMM_eReefs;LMM;OM;OMsd;AR;ROTC_ss;Chl_a_OM;Kd_490_OM;NO3_OM;Oxygen_OM;PH_OM;PIP_OM;TOTAL_NITROGEN_OM;alk_OM;salt_OM;Velocity_OM;CF30a;DHW_max_1year;DHW_freq_sup4_1year;DHW_max_6year;DHW_freq_sup4_6year
487;0.9269872;28.559;0.00379839298758218;2.84542857142857;0.9179262;0.183423458236812;28.477;8.94485714285713;-14.7434;1.11619739369756;0.0180423666910153;-0,4;3.5;0.533887196677187;0.737231661381486;29.579904252012;24.5642569094533;27.1925074428818;2.02864356430706;5.93893451351351;0.0327248105945946;0.232012306;0.0550286871;0.214716915;6758.30892;8.06471942;0.000669206456;54.3865425;2243.85566;34.9924676216216;0.0975244107737941;0.0154305720544432;3.95328571428571;0;8.94485714285713;0.107111111111111
488;0.9269872;28.559;0.00379839298758218;2.84542857142857;0.9179262;0.183423458236812;28.477;8.94485714285713;-14.7434;1.11619739369756;0.0180423666910153;-0,2;3;0.503180260633525;0.691224665859571;29.562070921081;24.5620375097771;27.1835320670577;2.02119959014129;5.89233721621622;0.0326531695135135;0.232301546;0.0551569211;0.214371015;6759.44572;8.06500622;0.000675990696;54.3888925;2243.85206;34.9926319459459;0.0949149514965651;0.0154305720544432;3.95328571428571;0;8.94485714285713;0.107111111111111
489;0.9269872;28.559;0.00379839298758218;2.84542857142857;0.9179262;0.183423458236812;28.477;8.94485714285713;-14.7434;1.11619739369756;0.0180423666910153;-0,3;4;0.518533728655356;0.714228163620529;29.5709875865465;24.5631472096152;27.1880197549698;2.02492157722417;5.91563586486486;0.0326889900540541;0.232156926;0.0550928041;0.214543965;6758.87732;8.06486282;0.000672598576;54.3877175;2243.85386;34.9925497837838;0.0962185989330493;0.0154305720544432;3.95328571428571;0;8.94485714285713;0.107111111111111
490;0.9269872;28.559;0.00379839298758218;2.84542857142857;0.9179262;0.183423458236812;28.477;8.94485714285713;-14.7434;1.11619739369756;0.0180423666910153;-0,4;5;0.533887196677187;0.737231661381486;29.579904252012;24.5642569094533;27.1925074428818;2.02864356430706;5.93893451351351;0.0327248105945946;0.232012306;0.0550286871;0.214716915;6758.30892;8.06471942;0.000669206456;54.3865425;2243.85566;34.9924676216216;0.0975244107737941;0.0154305720544432;3.95328571428571;0;8.94485714285713;0.107111111111111
491;0.9269872;28.559;0.00379839298758218;2.84542857142857;0.9179262;0.183423458236812;28.477;8.94485714285713;-14.7434;1.11619739369756;0.0180423666910153;-0,3;3;0.503180260633525;0.691224665859571;29.562070921081;24.5620375097771;27.1835320670577;2.02119959014129;5.89233721621622;0.0326531695135135;0.232301546;0.0551569211;0.214371015;6759.44572;8.06500622;0.000675990696;54.3888925;2243.85206;34.9926319459459;0.0949149514965651;0.0154305720544432;3.95328571428571;0;8.94485714285713;0.107111111111111
492;0.9269872;28.559;0.00379839298758218;2.84542857142857;0.9179262;0.183423458236812;28.477;8.94485714285713;-14.7434;1.11619739369756;0.0180423666910153;-0,1;5;0.472473324589863;0.645217670337656;29.5442375901501;24.5598181101009;27.1745566912337;2.01375561597552;5.84573991891892;0.0325815284324324;0.232594356;0.0552817024;0.214031924;6760.4279;8.06527128;0.000682622684;54.391356;2243.8484;34.9927962702703;0.09231451646836;0.0154305720544432;3.95328571428571;0;8.94485714285713;0.107111111111111
493;0.9269872;28.559;0.00379839298758218;2.84542857142857;0.9179262;0.183423458236812;28.477;8.94485714285713;-14.7434;1.11619739369756;0.0180423666910153;-0,2;5;0.487826792611694;0.668221168098614;29.5531542556156;24.560927809939;27.1790443791457;2.01747760305841;5.86903856756757;0.032617348972973;0.232446166;0.0552210381;0.214198065;6760.01412;8.06514962;0.000679382816;54.3900675;2243.85026;34.9927141081081;0.0936135588878271;0.0154305720544432;3.95328571428571;0;8.94485714285713;0.107111111111111
494;0.9269872;28.559;0.00379839298758218;2.84542857142857;0.9179262;0.183423458236812;28.477;8.94485714285713;-14.7434;1.11619739369756;0.0180423666910153;0;3.5;0.472473324589863;0.645217670337656;29.5442375901501;24.5598181101009;27.1745566912337;2.01375561597552;5.84573991891892;0.0325815284324324;0.232594356;0.0552817024;0.214031924;6760.4279;8.06527128;0.000682622684;54.391356;2243.8484;34.9927962702703;0.09231451646836;0.0154305720544432;3.95328571428571;0;8.94485714285713;0.107111111111111
495;0.9269872;28.559;0.00379839298758218;2.84542857142857;0.9179262;0.183423458236812;28.477;8.94485714285713;-14.7434;1.11619739369756;0.0180423666910153;-0,1;2.5;0.487826792611694;0.668221168098614;29.5531542556156;24.560927809939;27.1790443791457;2.01747760305841;5.86903856756757;0.032617348972973;0.232446166;0.0552210381;0.214198065;6760.01412;8.06514962;0.000679382816;54.3900675;2243.85026;34.9927141081081;0.0936135588878271;0.0154305720544432;3.95328571428571;0;8.94485714285713;0.107111111111111
496;0.9269872;28.559;0.00379839298758218;2.84542857142857;0.9179262;0.183423458236812;28.477;8.94485714285713;-14.7434;1.11619739369756;0.0180423666910153;-0,3;5;0.518533728655356;0.714228163620529;29.5709875865465;24.5631472096152;27.1880197549698;2.02492157722417;5.91563586486486;0.0326889900540541;0.232156926;0.0550928041;0.214543965;6758.87732;8.06486282;0.000672598576;54.3877175;2243.85386;34.9925497837838;0.0962185989330493;0.0154305720544432;3.95328571428571;0;8.94485714285713;0.107111111111111
