AR;ROTC_ss;TSA_DHW_stdev;DHW_freq_sup4;DHW_collection;Depth;Health.score;CF30a;Turbidity;Velocity_OM;DHW_freq_sup4_1year;Genotype;eventID
5.93893451351351;0.0327248105945946;1.11619739369756;0.0180423666910153;2.84542857142857;-0.4;3.5;0.0154305720544432;0.0550286871;0.0975244107737941;0;487;Aspat_487
5.89233721621622;0.0326531695135135;1.11619739369756;0.0180423666910153;2.84542857142857;-0.2;3;0.0154305720544432;0.0551569211;0.0949149514965651;0;488;Aspat_488
5.91563586486486;0.0326889900540541;1.11619739369756;0.0180423666910153;2.84542857142857;-0.3;4;0.0154305720544432;0.0550928041;0.0962185989330493;0;489;Aspat_489
5.93893451351351;0.0327248105945946;1.11619739369756;0.0180423666910153;2.84542857142857;-0.4;5;0.0154305720544432;0.0550286871;0.0975244107737941;0;490;Aspat_490
5.89233721621622;0.0326531695135135;1.11619739369756;0.0180423666910153;2.84542857142857;-0.3;3;0.0154305720544432;0.0551569211;0.0949149514965651;0;491;Aspat_491
5.84573991891892;0.0325815284324324;1.11619739369756;0.0180423666910153;2.84542857142857;-0.1;5;0.0154305720544432;0.0552817024;0.09231451646836;0;492;Aspat_492
5.86903856756757;0.032617348972973;1.11619739369756;0.0180423666910153;2.84542857142857;-0.2;5;0.0154305720544432;0.0552210381;0.0936135588878271;0;493;Aspat_493
5.84573991891892;0.0325815284324324;1.11619739369756;0.0180423666910153;2.84542857142857;0;3.5;0.0154305720544432;0.0552817024;0.09231451646836;0;494;Aspat_494
5.86903856756757;0.032617348972973;1.11619739369756;0.0180423666910153;2.84542857142857;-0.1;2.5;0.0154305720544432;0.0552210381;0.0936135588878271;0;495;Aspat_495
5.91563586486486;0.0326889900540541;1.11619739369756;0.0180423666910153;2.84542857142857;-0.3;5;0.0154305720544432;0.0550928041;0.0962185989330493;0;496;Aspat_496
5.91563586486486;0.0326889900540541;1.11619739369756;0.0180423666910153;2.84542857142857;-0.3;2.5;0.0154305720544432;0.0550928041;0.0962185989330493;0;497;Aspat_497
5.89233721621622;0.0326531695135135;1.11619739369756;0.0180423666910153;2.84542857142857;-0.3;4.5;0.0154305720544432;0.0551569211;0.0949149514965651;0;498;Aspat_498
5.96223316216216;0.0327606311351351;1.11619739369756;0.0180423666910153;2.84542857142857;-0.6;5;0.0154305720544432;0.0549645701;0.098832301227916;0;499;Aspat_499
5.93893451351351;0.0327248105945946;1.11619739369756;0.0180423666910153;2.84542857142857;-0.5;6;0.0154305720544432;0.0550286871;0.0975244107737941;0;500;Aspat_500
5.96223316216216;0.0327606311351351;1.11619739369756;0.0180423666910153;2.84542857142857;-0.6;5;0.0154305720544432;0.0549645701;0.098832301227916;0;501;Aspat_501
5.96223316216216;0.0327606311351351;1.11619739369756;0.0180423666910153;2.84542857142857;-0.6;5;0.0154305720544432;0.0549645701;0.098832301227916;0;502;Aspat_502
5.93893451351351;0.0327248105945946;1.11619739369756;0.0180423666910153;2.84542857142857;-0.5;3.5;0.0154305720544432;0.0550286871;0.0975244107737941;0;503;Aspat_503
5.96223316216216;0.0327606311351351;1.11619739369756;0.0180423666910153;2.84542857142857;-0.6;4;0.0154305720544432;0.0549645701;0.098832301227916;0;504;Aspat_504
5.96223316216216;0.0327606311351351;1.11619739369756;0.0180423666910153;2.84542857142857;-0.6;4;0.0154305720544432;0.0549645701;0.098832301227916;0;505;Aspat_505
5.98553181081081;0.0327964516756757;1.11619739369756;0.0180423666910153;2.84542857142857;-0.7;3;0.0154305720544432;0.0549004531;0.100142188853292;0;506;Aspat_506
5.93893451351351;0.0327248105945946;1.11619739369756;0.0180423666910153;2.84542857142857;-0.6;3.5;0.0154305720544432;0.0550286871;0.0975244107737941;0;507;Aspat_507
5.93893451351351;0.0327248105945946;1.11619739369756;0.0180423666910153;2.84542857142857;-0.5;3.5;0.0154305720544432;0.0550286871;0.0975244107737941;0;508;Aspat_508
5.89233721621622;0.0326531695135135;1.11619739369756;0.0180423666910153;2.84542857142857;-0.3;3.5;0.0154305720544432;0.0551569211;0.0949149514965651;0;509;Aspat_509
5.89233721621622;0.0326531695135135;1.11619739369756;0.0180423666910153;2.84542857142857;-0.3;3.5;0.0154305720544432;0.0551569211;0.0949149514965651;0;510;Aspat_510
5.77584397297297;0.0324740668108108;1.11619739369756;0.0180423666910153;2.84542857142857;0.1;3;0.0154305720544432;0.0554395264;0.0884325251181526;0;511;Aspat_511
5.84573991891892;0.0325815284324324;1.11619739369756;0.0180423666910153;2.84542857142857;-0.2;3;0.0154305720544432;0.0552817024;0.09231451646836;0;512;Aspat_512
5.84573991891892;0.0325815284324324;1.11619739369756;0.0180423666910153;2.84542857142857;-0.2;3;0.0154305720544432;0.0552817024;0.09231451646836;0;513;Aspat_513
5.84573991891892;0.0325815284324324;1.11619739369756;0.0180423666910153;2.84542857142857;-0.2;3;0.0154305720544432;0.0552817024;0.09231451646836;0;514;Aspat_514
5.89233721621622;0.0326531695135135;1.11619739369756;0.0180423666910153;2.84542857142857;-0.4;3.5;0.0154305720544432;0.0551569211;0.0949149514965651;0;515;Aspat_515
5.82244127027027;0.0325457078918919;1.11619739369756;0.0180423666910153;2.84542857142857;-0.1;3;0.0154305720544432;0.0553343104;0.0910179248666029;0;516;Aspat_516
5.82244127027027;0.0325457078918919;1.11619739369756;0.0180423666910153;2.84542857142857;-0.1;3;0.0154305720544432;0.0553343104;0.0910179248666029;0;517;Aspat_517
