"","Term","Genotype","Estimate","Std.error","Statistic","p.value","Model","Site.name"
"1","hill","797",-64.3953789825165,29.3496088766803,-2.19407962992249,0.0286622142463488,"W2.3","Chicken"
"2","hill","798",-51.2492617812592,27.2893354180795,-1.87799596421487,0.0609294975367739,"W2.3","Chicken"
"3","hill","799",-57.1060364956328,34.4932280774243,-1.65557240300767,0.0983992689634019,"W2.3","Chicken"
"4","hill","800",-39.482419096371,45.4674644850096,-0.868366414172671,0.385586064702214,"W2.3","Chicken"
"5","hill","801",-32.9903494546749,7.75182777708631,-4.25581558354422,2.46260764122237e-05,"W2.3","Chicken"
"6","hill","802",-25.9255961078301,5.90670468608603,-4.38918102150952,1.37326434635088e-05,"W2.3","Chicken"
"7","hill","803",-19.6156255609853,4.81262206223266,-4.07587076386489,5.28568224822544e-05,"W2.3","Chicken"
"8","hill","804",-35.8002977713207,8.27525136299048,-4.32618855922985,1.81293202354636e-05,"W2.3","Chicken"
"9","hill","805",-39.6795529420236,9.53811230097882,-4.16010544748479,3.70965197374506e-05,"W2.3","Chicken"
"10","hill","806",-34.0980870544157,9.31439853524921,-3.66079322517451,0.00027658536521405,"W2.3","Chicken"
"11","hill","956",-24.390274660172,6.06141506403895,-4.0238581919384,6.55721910804948e-05,"W2.3","Chicken"
"12","hill","987",-70.9649892898309,233.263860440316,-0.30422624900349,0.761074711995096,"W2.3","Chicken"
"13","hill","988",-55.0181455618701,67.6159573722273,-0.813685817668662,0.416189673666671,"W2.3","Chicken"
"14","hill","989",-56.7665499879498,82.5022594300748,-0.688060549857578,0.491715110401306,"W2.3","Chicken"
"15","hill","990",-59.7619773942753,34.5347401678234,-1.73048869352596,0.0841239738930535,"W2.3","Chicken"
"16","hill","991",-22.4664794177182,5.95342561602668,-3.77370624355131,0.000178958558326437,"W2.3","Chicken"
"17","hill","992",-10.0399922561196,2.9685987606394,-3.3820644235387,0.000772457609439742,"W2.3","Chicken"
"18","hill","993",-23.8863342177908,7.89215323434166,-3.02659280788575,0.00259324094045258,"W2.3","Chicken"
"19","hill","994",-23.6955856993649,5.0651255614418,-4.67818327737958,3.67693757923345e-06,"W2.3","Chicken"
"20","hill","995",-22.3027452967301,11.7544683531982,-1.89738443514222,0.0583194286258517,"W2.3","Chicken"
"21","hill","996",-27.8025081486716,10.0948605089509,-2.75412504452337,0.00608668407065149,"W2.3","Chicken"
