"","ED50","Std.error","Lower","Upper","Site.name","Term","Genotype","Model"
"e:777:50",36.6995613387354,0.722306610413522,35.2800988813199,38.1190237961509,"Fitzroy Island","ED50","777","W2.3"
"e:785:50",37.3291933223511,0.47575878551236,36.3942417033513,38.2641449413509,"Fitzroy Island","ED50","785","W2.3"
"e:780:50",37.4215142085344,0.577615364249711,36.2863960847926,38.5566323322761,"Fitzroy Island","ED50","780","W2.3"
"e:840:50",36.888413081894,0.456844773205927,35.9906309003616,37.7861952634264,"Fitzroy Island","ED50","840","W2.3"
"e:786:50",37.8383033427773,0.517625852292072,36.8210754042213,38.8555312813333,"Fitzroy Island","ED50","786","W2.3"
"e:849:50",36.4154823707486,0.431799439614091,35.5669187762464,37.2640459652509,"Fitzroy Island","ED50","849","W2.3"
"e:810:50",40.7968239686311,1.82293465828091,37.2144293560857,44.3792185811765,"Fitzroy Island","ED50","810","W2.3"
"e:773:50",36.2510722617099,0.447299673938716,35.3720479177312,37.1300966056885,"Fitzroy Island","ED50","773","W2.3"
"e:775:50",36.8552271152946,0.496436448115435,35.8796401686527,37.8308140619365,"Fitzroy Island","ED50","775","W2.3"
"e:813:50",36.6075407595071,0.449366591860248,35.7244545499026,37.4906269691117,"Fitzroy Island","ED50","813","W2.3"
"e:808:50",40.6428067346372,1.86271517544832,36.9822362479663,44.3033772213081,"Fitzroy Island","ED50","808","W2.3"
"e:781:50",37.2647002128908,0.579408086627414,36.1260590671041,38.4033413586775,"Fitzroy Island","ED50","781","W2.3"
"e:809:50",41.6145175026111,2.40579372634653,36.886699944802,46.3423350604203,"Fitzroy Island","ED50","809","W2.3"
"e:825:50",37.4264737803475,0.539224367957972,36.3668008721877,38.4861466885073,"Fitzroy Island","ED50","825","W2.3"
"e:850:50",35.7624408108761,0.427229717427011,34.9228575427226,36.6020240790296,"Fitzroy Island","ED50","850","W2.3"
"e:774:50",36.2502768863677,0.433723234023245,35.3979326896943,37.1026210830412,"Fitzroy Island","ED50","774","W2.3"
"e:807:50",38.9042766202922,1.01976282528071,36.9002591779968,40.9082940625875,"Fitzroy Island","ED50","807","W2.3"
"e:842:50",36.4262364071319,0.400827190961609,35.6385388542109,37.2139339600528,"Fitzroy Island","ED50","842","W2.3"
"e:782:50",37.5440166784845,0.616265666414113,36.332943756463,38.7550896005061,"Fitzroy Island","ED50","782","W2.3"
"e:819:50",36.2645824295289,0.430424521410528,35.4187207966919,37.1104440623658,"Fitzroy Island","ED50","819","W2.3"
"e:834:50",36.8361700489254,0.500019710486597,35.8535413469713,37.8187987508795,"Fitzroy Island","ED50","834","W2.3"
"e:835:50",36.8387913060122,0.50357190767844,35.8491818974129,37.8284007146114,"Fitzroy Island","ED50","835","W2.3"
"e:820:50",37.4787614406304,0.523276097010149,36.4504297545288,38.5070931267319,"Fitzroy Island","ED50","820","W2.3"
"e:784:50",38.8570258002731,0.977780974810347,36.9355102481396,40.7785413524066,"Fitzroy Island","ED50","784","W2.3"
"e:815:50",36.2442583789419,0.40694955578552,35.4445292775168,37.0439874803671,"Fitzroy Island","ED50","815","W2.3"
"e:824:50",37.2033624150019,0.442703465165307,36.3333704482799,38.0733543817238,"Fitzroy Island","ED50","824","W2.3"
"e:832:50",36.6013343054036,0.453154378200483,35.7108044140867,37.4918641967206,"Fitzroy Island","ED50","832","W2.3"
"e:844:50",36.035136286727,0.366461794825326,35.3149729207378,36.7552996527162,"Fitzroy Island","ED50","844","W2.3"
"e:837:50",36.6119034516131,0.440647030807549,35.7459527484279,37.4778541547984,"Fitzroy Island","ED50","837","W2.3"
"e:821:50",36.5884075545881,0.49543370353565,35.614791181474,37.5620239277022,"Fitzroy Island","ED50","821","W2.3"
"e:783:50",37.7632097362329,0.663462044436607,36.4593874391356,39.0670320333302,"Fitzroy Island","ED50","783","W2.3"
"e:836:50",36.4659297566841,0.395533083785299,35.6886360769577,37.2432234364104,"Fitzroy Island","ED50","836","W2.3"
"e:845:50",36.1350602155858,0.389328617940835,35.3699594276419,36.9001610035297,"Fitzroy Island","ED50","845","W2.3"
"e:843:50",37.0020516492257,0.607697800022706,35.8078161263189,38.1962871721325,"Fitzroy Island","ED50","843","W2.3"
"e:833:50",36.4134682325817,0.445057907733937,35.5388493625667,37.2880871025967,"Fitzroy Island","ED50","833","W2.3"
"e:838:50",36.3137564319681,0.402572698835718,35.5226286419973,37.1048842219389,"Fitzroy Island","ED50","838","W2.3"
"e:846:50",36.3270274875259,0.425316306876067,35.4912044153937,37.162850559658,"Fitzroy Island","ED50","846","W2.3"
"e:828:50",37.5018928351187,0.56907460004711,36.3835588498141,38.6202268204233,"Fitzroy Island","ED50","828","W2.3"
"e:811:50",39.6374223302894,1.28142162087068,37.1191982731884,42.1556463873905,"Fitzroy Island","ED50","811","W2.3"
"e:827:50",37.7354405275254,0.291832802406755,37.1619365599768,38.3089444950741,"Fitzroy Island","ED50","827","W2.3"
"e:1705:50",36.2924034578468,0.11265533250669,36.0710413928717,36.513765522822,"Fitzroy Reef","ED50","1705","W2.3"
"e:1693:50",36.5269042024673,0.176569501162918,36.1799540091709,36.8738543957636,"Fitzroy Reef","ED50","1693","W2.3"
"e:1678:50",37.5493192568975,0.794555148386035,35.9880583341362,39.1105801796588,"Fitzroy Reef","ED50","1678","W2.3"
"e:1702:50",36.2460771444101,0.0820205503323649,36.084910886338,36.4072434024822,"Fitzroy Reef","ED50","1702","W2.3"
"e:1713:50",38.1867507474304,1.11485819047719,35.9961104492107,40.3773910456502,"Fitzroy Reef","ED50","1713","W2.3"
"e:1656:50",36.2148569865934,0.108138833727778,36.0023696146657,36.4273443585211,"Fitzroy Reef","ED50","1656","W2.3"
"e:1663:50",37.0619359814165,0.491493357643199,36.0961762419651,38.0276957208679,"Fitzroy Reef","ED50","1663","W2.3"
"e:1703:50",39.7534922025028,2.91572175467267,34.024245533518,45.4827388714876,"Fitzroy Reef","ED50","1703","W2.3"
"e:1689:50",36.0527991268948,0.360631982773691,35.3441754104087,36.7614228433809,"Fitzroy Reef","ED50","1689","W2.3"
"e:1679:50",36.5370038400322,0.256399989056586,36.0331907512572,37.0408169288072,"Fitzroy Reef","ED50","1679","W2.3"
"e:1694:50",36.4351402540611,0.150429680308457,36.1395534946447,36.7307270134776,"Fitzroy Reef","ED50","1694","W2.3"
"e:1714:50",36.5886693634668,0.259465484672836,36.0788327299142,37.0985059970194,"Fitzroy Reef","ED50","1714","W2.3"
"e:1684:50",35.8283535253105,0.0907326797491211,35.65006837091,36.006638679711,"Fitzroy Reef","ED50","1684","W2.3"
"e:1711:50",36.104136453222,0.0720054962823208,35.9626492728822,36.2456236335618,"Fitzroy Reef","ED50","1711","W2.3"
"e:1667:50",36.5258718647931,0.668499889585126,35.212303188535,37.8394405410512,"Fitzroy Reef","ED50","1667","W2.3"
"e:1673:50",37.1400455425162,1.25572461763151,34.6726097965648,39.6074812884676,"Fitzroy Reef","ED50","1673","W2.3"
"e:1662:50",37.4003705243556,0.607662875108739,36.2063435231497,38.5943975255614,"Fitzroy Reef","ED50","1662","W2.3"
"e:1661:50",36.9818069889359,0.455471351913543,36.0868286798477,37.8767852980241,"Fitzroy Reef","ED50","1661","W2.3"
"e:1688:50",36.7335414430944,NA,NA,NA,"Fitzroy Reef","ED50","1688","W2.3"
